node	average_node_activity
AKT1	0.754653012
CRK	0.170715756
STAT3	1.0
MAPK8	0.0
TSC2	0.0
CDKN1A	0.118553293
FOXO3	0.059290489
EP300	0.007141868
SMAD3	0.933581485
MDM2	0.499993079
GSK3B	0.0
BAD	0.133907879
PTEN	0.19321221
CREB1	0.029638323
RPS6KB1	0.881446707
CTNNB1	1.0
PPP1CA	0.18498565
NR3C1	0.0
TWIST1	0.844652673
KRAS	1.0
CDK2	0.747511143
BRAF	0.844652673
ESR1	0.77002144
BCL2L11	0.0
NR4A1	0.0
PAK1	0.621802139
AKT2	0.792504053
BCL2	0.036794034
MYC	0.874304839
RPTOR	0.785362184
BCL2L1	0.036794034
CHUK	0.606447553
ABL1	0.492865053
TP53	0.888574733
PRKCD	0.492865053
EGF	0.495036129
EGFR	0.665738042
CTNND1	0.059276646
CDK5	0.492865053
MTOR	0.992858132
JUN	0.963219808
MET	0.492865053
E2F1	1.0
SMAD2	0.86716297
SP1	0.800744455
CEBPA	0.0
IRS1	0.118553293
AKT3	0.81501435
CDK1	0.245346988
RHEB	1.0
MAPK1	0.992858132
MAPK3	0.985716263
DAPK3	0.985716263
PIN1	0.881432865
PRKAB1	0.007141868
MAPK14	0.948936072
DAPK1	0.985716263
STK11	0.007141868
MAP2K1	0.948936072
PLK1	0.867149128
PIK3CA	0.688220654
PIK3R1	0.606461395
PRKDC	0.247518064
MAP2K2	0.569667361
ERBB2	0.665738042
PRKAA1	0.007141868
Proliferation	0.888588576
Apoptosis	0.059290489
