node	average_node_activity
AKT1	0.089641693
CRK	0.415215855
STAT3	0.089782296
MAPK8	0.399381154
TSC2	0.899418712
CDKN1A	0.937778317
FOXO3	0.399451455
EP300	0.010798992
SMAD3	0.050393207
MDM2	0.438837655
GSK3B	0.899418712
BAD	0.921016695
PTEN	0.506082047
CREB1	0.0
RPS6KB1	0.078983305
CTNNB1	0.100581288
PPP1CA	0.921086997
NR3C1	0.0
TWIST1	0.074017897
KRAS	1.0
CDK2	0.078842702
BRAF	0.989201008
ESR1	0.074017897
BCL2L11	0.0
NR4A1	0.0
PAK1	0.089571392
AKT2	0.089641693
BCL2	0.023762404
MYC	0.023762404
RPTOR	0.078842702
BCL2L1	0.023762404
CHUK	0.067973409
ABL1	0.050325795
TP53	0.561162345
PRKCD	0.050325795
EGF	0.499751537
EGFR	0.499821839
CTNND1	0.0
CDK5	0.050325795
MTOR	0.089782296
JUN	0.0
MET	0.050325795
E2F1	0.089782296
SMAD2	0.034561395
SP1	0.008000894
CEBPA	0.910217704
IRS1	0.921016695
AKT3	0.068114012
CDK1	0.000140603
RHEB	0.100581288
MAPK1	0.089782296
MAPK3	0.068114012
DAPK3	0.068114012
PIN1	0.0
PRKAB1	0.899418712
MAPK14	0.0
DAPK1	0.068114012
STK11	0.910217704
MAP2K1	0.0
PLK1	0.089711995
PIK3CA	0.493847652
PIK3R1	0.493917953
PRKDC	0.449566345
MAP2K2	0.0
ERBB2	0.499821839
PRKAA1	0.910217704
Proliferation	0.078983305
Apoptosis	0.90438412
