node	average_node_activity
AKT1	0.771257484
CRK	0.103051722
STAT3	0.988573564
MAPK8	0.0
TSC2	0.0
CDKN1A	0.313891848
FOXO3	0.068665515
EP300	0.057132179
SMAD3	0.510210687
MDM2	0.477093678
GSK3B	0.0
BAD	0.159970101
PTEN	0.114478158
CREB1	0.0
RPS6KB1	0.874309206
CTNNB1	1.0
PPP1CA	0.274341359
NR3C1	0.0
TWIST1	0.794217256
KRAS	1.0
CDK2	0.759831049
BRAF	0.817070127
ESR1	0.668526462
BCL2L11	0.0
NR4A1	0.0
PAK1	0.611180483
AKT2	0.759831049
BCL2	0.305697142
MYC	0.305697142
RPTOR	0.748404613
BCL2L1	0.305697142
CHUK	0.622606919
ABL1	0.431494835
TP53	0.522906322
PRKCD	0.431494835
EGF	0.496916125
EGFR	0.679845998
CTNND1	0.068558615
CDK5	0.431494835
MTOR	0.988573564
JUN	0.977147128
MET	0.431494835
E2F1	0.988573564
SMAD2	0.339976449
SP1	0.158422676
CEBPA	0.0
IRS1	0.125690794
AKT3	0.725658641
CDK1	0.183036773
RHEB	1.0
MAPK1	0.988573564
MAPK3	0.988573564
DAPK3	0.988573564
PIN1	0.0
PRKAB1	0.011426436
MAPK14	0.977147128
DAPK1	0.988573564
STK11	0.011426436
MAP2K1	0.977147128
PLK1	0.794217256
PIK3CA	0.70259197
PIK3R1	0.656993126
PRKDC	0.248458063
MAP2K2	0.542621869
ERBB2	0.679845998
PRKAA1	0.011426436
Proliferation	0.874309206
Apoptosis	0.068665515
